Title: Quantifying Chemical Tagging: Towards Robust Group Finding in the Galaxy
Authors: A. W. Mitschang (1,2), G. De Silva (3), S. Sharma (4), D. B. Zucker (1,2,3)
	 (1) Macquarie University Research Centre in Astronomy, Astrophysics & Astrophotonics, NSW 2109, Australia
	 (2) Department of Physics & Astronomy, Macquarie University, NSW 2109, Australia
	 (3) Australian Astronomical Observatory, PO Box 915, North Ryde, NSW 1670, Australia
	 (4) Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia
Table: 3
================================================================================
Byte-by-byte Description of file: lit_abund_database.dat
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  8 A8     --      Cluster  Cluster name
  10- 11 I2     --      CID      Unique ID of cluster (per study) in database
  13- 24 A12    --      Star     Star name as given in source text
  26- 29 I4     --      SID      Unique ID of star (per CID) in database
  31- 31 A1     --      Src      Reference code (see Note (1))
  33- 34 A2     --      El       Element species
  36- 42 F7.2   --      Abund    X/Fe abundance relative to Solar (Fe/H for Fe)
  44- 54 F7.2   --      Error    [?] Tabulated Error on abundance
--------------------------------------------------------------------------------
Note (1): The references for single letter reference codes are listed
     	  in table 2 of the published text and NASA Astrophysical
     	  Database System (ADS) BIBCODES are listed below. The ADS
     	  records can be viewed by following a URL of the format:

	        http://adsabs.harvard.edu/abs/{BIBCODE}

NGC3680  28 13           1219 Q Na    0.13 0.11 
NGC3680  28 13           1219 Q Nd    0.56 0.08 
NGC3680  28 13           1219 Q Ni    0.01 0.08 
NGC3680  28 13           1219 Q Si    0.07 0.08 
NGC3680  28 13           1219 Q Ti    0.22 0.06 
NGC3680  28 13           1219 Q Y     0.23 0.10 
NGC3680  28 13           1219 Q Zn   -0.38 0.06 
NGC3680  28 20           1226 Q Al    0.08 0.07 
NGC3680  28 20           1226 Q Ba    0.17 0.07 
NGC3680  28 20           1226 Q Ca   -0.09 0.09 
NGC3680  28 20           1226 Q Cr    0.04 0.07 
NGC3680  28 20           1226 Q Fe    0.06 0.08 
NGC3680  28 20           1226 Q La    0.23 0.06 
NGC3680  28 20           1226 Q Mg   -0.14 0.07 
NGC3680  28 20           1226 Q Na    0.22 0.11 
NGC3680  28 20           1226 Q Nd    0.44 0.08 
NGC3680  28 20           1226 Q Ni   -0.05 0.08 
NGC3680  28 20           1226 Q Si    0.10 0.08 
NGC3680  28 20           1226 Q Ti    0.23 0.06 
NGC3680  28 20           1226 Q Y     0.10 0.10 
NGC3680  28 20           1226 Q Zn   -0.31 0.06 
NGC3680  28 24           1230 Q Ca   -0.05 0.06 
NGC3680  28 24           1230 Q Cr    0.04 0.17 
NGC3680  28 24           1230 Q Fe   -0.07 0.07 
NGC3680  28 24           1230 Q Mg   -0.16 0.05 
NGC3680  28 24           1230 Q Na   -0.16 0.12 
NGC3680  28 24           1230 Q Ni   -0.03 0.07 
NGC3680  28 24           1230 Q Si    0.00 0.08 
NGC3680  28 24           1230 Q Ti    0.14 0.07 
NGC3680  28 24           1230 Q Y     0.11 0.04 
NGC3680  28 24           1230 Q Zn   -0.28 0.03 
NGC3680  28 26           1232 Q Al    0.16 0.07 
NGC3680  28 26           1232 Q Ba    0.12 0.07 
NGC3680  28 26           1232 Q Ca   -0.03 0.09 
NGC3680  28 26           1232 Q Cr    0.11 0.07 
NGC3680  28 26           1232 Q Fe    0.09 0.08 
NGC3680  28 26           1232 Q La    0.28 0.06 
NGC3680  28 26           1232 Q Mg   -0.01 0.07 
NGC3680  28 26           1232 Q Na    0.12 0.11 
NGC3680  28 26           1232 Q Nd    0.51 0.08 
NGC3680  28 26           1232 Q Ni   -0.03 0.08 
NGC3680  28 26           1232 Q Si    0.01 0.08 
NGC3680  28 26           1232 Q Ti    0.28 0.06 
NGC3680  28 26           1232 Q Y     0.13 0.10 
NGC3680  28 26           1232 Q Zn   -0.42 0.06 
NGC3680  28 27           1233 Q Al    0.10 0.07 
NGC3680  28 27           1233 Q Ba    0.06 0.07 
NGC3680  28 27           1233 Q Ca   -0.11 0.09 
NGC3680  28 27           1233 Q Cr    0.10 0.07 
NGC3680  28 27           1233 Q Fe    0.04 0.08 
NGC3680  28 27           1233 Q La    0.26 0.06 
NGC3680  28 27           1233 Q Mg   -0.01 0.07 
NGC3680  28 27           1233 Q Na    0.16 0.11 
NGC3680  28 27           1233 Q Nd    0.56 0.08 
NGC3680  28 27           1233 Q Ni   -0.10 0.08 
NGC3680  28 27           1233 Q Si   -0.02 0.08 
NGC3680  28 27           1233 Q Ti    0.20 0.06 
NGC3680  28 27           1233 Q Y     0.09 0.10 
NGC3680  28 27           1233 Q Zn   -0.50 0.06 
NGC3680  28 34           1240 Q Al    0.02 0.07 
NGC3680  28 34           1240 Q Ba    0.20 0.07 
NGC3680  28 34           1240 Q Ca   -0.09 0.09 
NGC3680  28 34           1240 Q Cr    0.07 0.07 
NGC3680  28 34           1240 Q Fe   -0.11 0.08 
NGC3680  28 34           1240 Q Mg   -0.14 0.07 
NGC3680  28 34           1240 Q Na    0.04 0.11 
NGC3680  28 34           1240 Q Nd    0.20 0.08 
NGC3680  28 34           1240 Q Ni   -0.04 0.08 
NGC3680  28 34           1240 Q Si   -0.03 0.08 
NGC3680  28 34           1240 Q Ti    0.07 0.06 
NGC3680  28 34           1240 Q Y     0.19 0.10 
NGC3680  28 34           1240 Q Zn   -0.47 0.06 
NGC3680  28 35           1241 Q Ca   -0.04 0.06 
NGC3680  28 35           1241 Q Cr   -0.07 0.17 
NGC3680  28 35           1241 Q Fe   -0.14 0.07 
NGC3680  28 35           1241 Q Mg   -0.11 0.05 
NGC3680  28 35           1241 Q Na   -0.06 0.12 
NGC3680  28 35           1241 Q Ni   -0.10 0.07 
NGC3680  28 35           1241 Q Si    0.01 0.08 
NGC3680  28 35           1241 Q Ti    0.07 0.07 
NGC3680  28 35           1241 Q Y     0.12 0.04 
NGC3680  28 35           1241 Q Zn   -0.23 0.03 
NGC3680  28 41           1247 Q Al    0.17 0.07 
NGC3680  28 41           1247 Q Ba    0.13 0.07 
NGC3680  28 41           1247 Q Ca   -0.06 0.09 
NGC3680  28 41           1247 Q Cr    0.12 0.07 
NGC3680  28 41           1247 Q Fe    0.03 0.08 
NGC3680  28 41           1247 Q La    0.27 0.06 
NGC3680  28 41           1247 Q Mg   -0.01 0.07 
NGC3680  28 41           1247 Q Na    0.11 0.11 
NGC3680  28 41           1247 Q Nd    0.55 0.08 
NGC3680  28 41           1247 Q Ni    0.00 0.08 
NGC3680  28 41           1247 Q Si    0.03 0.08 
NGC3680  28 41           1247 Q Ti    0.25 0.06 
NGC3680  28 41           1247 Q Y     0.11 0.10 
NGC3680  28 41           1247 Q Zn   -0.41 0.06 
NGC3680  28 44           1250 Q Al    0.27 0.07 
NGC3680  28 44           1250 Q Ba    0.03 0.07 
NGC3680  28 44           1250 Q Ca   -0.03 0.09 
NGC3680  28 44           1250 Q Cr    0.14 0.07 
NGC3680  28 44           1250 Q Fe   -0.13 0.08 
NGC3680  28 44           1250 Q La    0.42 0.06 
NGC3680  28 44           1250 Q Mg    0.05 0.07 
NGC3680  28 44           1250 Q Na    0.17 0.11 
NGC3680  28 44           1250 Q Nd    1.09 0.08 
NGC3680  28 44           1250 Q Ni   -0.03 0.08 
NGC3680  28 44           1250 Q Si    0.14 0.08 
NGC3680  28 44           1250 Q Ti    0.20 0.06 
NGC3680  28 44           1250 Q Y     0.23 0.10 
NGC3680  28 44           1250 Q Zn   -0.48 0.06 
IC4651   29 AMC 1109      863 G Al   -0.06 0.10 
IC4651   29 AMC 1109      863 G Ca    0.03 0.12 
IC4651   29 AMC 1109      863 G Cr    0.04 0.14 
IC4651   29 AMC 1109      863 G Fe    0.11 0.09 
IC4651   29 AMC 1109      863 G Na   -0.02 0.11 
IC4651   29 AMC 1109      863 G Ni    0.00 0.11 
IC4651   29 AMC 1109      863 G Si    0.00 0.09 
IC4651   29 AMC 1109      863 G Ti    0.02 0.14 
IC4651   29 AMC 2207      864 G Al   -0.09 0.10 
IC4651   29 AMC 2207      864 G Ca    0.04 0.12 
IC4651   29 AMC 2207      864 G Cr    0.01 0.14 
IC4651   29 AMC 2207      864 G Fe    0.13 0.09 
IC4651   29 AMC 2207      864 G Na   -0.07 0.11 
IC4651   29 AMC 2207      864 G Ni   -0.03 0.11 
IC4651   29 AMC 2207      864 G Si   -0.02 0.09 
IC4651   29 AMC 2207      864 G Ti   -0.08 0.13 
IC4651   29 AMC 4220      865 G Al   -0.17 0.10 
IC4651   29 AMC 4220      865 G Ca    0.00 0.12 
IC4651   29 AMC 4220      865 G Cr    0.02 0.15 
IC4651   29 AMC 4220      865 G Fe    0.19 0.09 
IC4651   29 AMC 4220      865 G Na   -0.07 0.11 
IC4651   29 AMC 4220      865 G Ni   -0.02 0.11 
IC4651   29 AMC 4220      865 G Si   -0.08 0.09 
IC4651   29 AMC 4220      865 G Ti   -0.02 0.14 
IC4651   29 AMC 4226      866 G Al   -0.07 0.10 
IC4651   29 AMC 4226      866 G Ca    0.06 0.12 
IC4651   29 AMC 4226      866 G Cr   -0.07 0.14 
IC4651   29 AMC 4226      866 G Fe    0.13 0.09 
IC4651   29 AMC 4226      866 G Na    0.00 0.11 
IC4651   29 AMC 4226      866 G Ni   -0.03 0.11 
IC4651   29 AMC 4226      866 G Si   -0.05 0.09 
IC4651   29 AMC 4226      866 G Ti   -0.03 0.14 
IC4651   29 Eggen 45      867 G Al   -0.10 0.10 
IC4651   29 Eggen 45      867 G Ca    0.03 0.12 
IC4651   29 Eggen 45      867 G Cr   -0.03 0.13 
IC4651   29 Eggen 45      867 G Fe    0.05 0.09 
IC4651   29 Eggen 45      867 G Na   -0.03 0.11 
IC4651   29 Eggen 45      867 G Ni   -0.04 0.11 
IC4651   29 Eggen 45      867 G Si    0.04 0.09 
IC4651   29 Eggen 45      867 G Ti   -0.01 0.13 
M67      30 Sanders 746   875 G Al    0.06 0.10 
M67      30 Sanders 746   875 G Ca    0.05 0.12 
M67      30 Sanders 746   875 G Cr    0.08 0.15 
M67      30 Sanders 746   875 G Fe    0.07 0.09 
M67      30 Sanders 746   875 G Na   -0.03 0.11 
M67      30 Sanders 746   875 G Ni   -0.07 0.10 
M67      30 Sanders 746   875 G Si   -0.12 0.09 
M67      30 Sanders 746   875 G Ti   -0.01 0.15 
M67      30 Sanders 1048  876 G Al   -0.07 0.11 
M67      30 Sanders 1048  876 G Ca    0.06 0.13 
M67      30 Sanders 1048  876 G Cr    0.08 0.16 
M67      30 Sanders 1048  876 G Fe    0.03 0.10 
M67      30 Sanders 1048  876 G Na   -0.03 0.12 
M67      30 Sanders 1048  876 G Ni    0.02 0.12 
M67      30 Sanders 1048  876 G Si   -0.04 0.10 
M67      30 Sanders 1048  876 G Ti    0.01 0.15 
M67      30 Sanders 1092  877 G Al   -0.05 0.10 
M67      30 Sanders 1092  877 G Ca    0.04 0.12 
M67      30 Sanders 1092  877 G Cr    0.01 0.14 
M67      30 Sanders 1092  877 G Fe    0.07 0.09 
M67      30 Sanders 1092  877 G Na    0.02 0.11 
M67      30 Sanders 1092  877 G Ni    0.00 0.11 
M67      30 Sanders 1092  877 G Si    0.01 0.09 
M67      30 Sanders 1092  877 G Ti    0.06 0.13 
M67      30 Sanders 1255  878 G Ca    0.02 0.13 
M67      30 Sanders 1255  878 G Cr    0.03 0.16 
M67      30 Sanders 1255  878 G Fe    0.01 0.10 
M67      30 Sanders 1255  878 G Na   -0.01 0.12 
M67      30 Sanders 1255  878 G Ni    0.03 0.12 
M67      30 Sanders 1255  878 G Si    0.01 0.10 
M67      30 Sanders 1255  878 G Ti   -0.02 0.15 
M67      30 Sanders 1283  879 G Al   -0.14 0.10 
M67      30 Sanders 1283  879 G Ca    0.03 0.12 
M67      30 Sanders 1283  879 G Cr   -0.01 0.14 
M67      30 Sanders 1283  879 G Fe    0.03 0.09 
M67      30 Sanders 1283  879 G Na    0.01 0.11 
M67      30 Sanders 1283  879 G Ni   -0.01 0.11 
M67      30 Sanders 1283  879 G Si    0.00 0.09 
M67      30 Sanders 1283  879 G Ti   -0.03 0.13 
M67      30 Sanders 1287  880 G Ca   -0.01 0.12 
M67      30 Sanders 1287  880 G Cr   -0.03 0.14 
M67      30 Sanders 1287  880 G Fe   -0.04 0.09 
M67      30 Sanders 1287  880 G Na   -0.04 0.11 
M67      30 Sanders 1287  880 G Ni   -0.06 0.11 
M67      30 Sanders 1287  880 G Si   -0.01 0.09 
M67      30 Sanders 1287  880 G Ti   -0.12 0.13 
Praesepe 31 KW49          868 G Ca   -0.03 0.13 
Praesepe 31 KW49          868 G Cr   -0.03 0.16 
Praesepe 31 KW49          868 G Fe    0.22 0.10 
Praesepe 31 KW49          868 G Na   -0.05 0.12 
Praesepe 31 KW49          868 G Ni    0.00 0.12 
Praesepe 31 KW49          868 G Si   -0.01 0.10 
Praesepe 31 KW49          868 G Ti   -0.03 0.15 
Praesepe 31 KW100         869 G Ca    0.02 0.14 
Praesepe 31 KW100         869 G Cr   -0.06 0.16 
Praesepe 31 KW100         869 G Fe    0.27 0.10 
Praesepe 31 KW100         869 G Na    0.00 0.12 
Praesepe 31 KW100         869 G Ni   -0.02 0.12 
Praesepe 31 KW100         869 G Si    0.11 0.11 
Praesepe 31 KW100         869 G Ti   -0.09 0.15 
Praesepe 31 KW208         870 G Al    0.02 0.11 
Praesepe 31 KW208         870 G Ca    0.03 0.13 
Praesepe 31 KW208         870 G Cr    0.07 0.16 
Praesepe 31 KW208         870 G Fe    0.28 0.10 
Praesepe 31 KW208         870 G Na    0.03 0.12 
Praesepe 31 KW208         870 G Ni   -0.02 0.12 
Praesepe 31 KW208         870 G Si   -0.02 0.10 
Praesepe 31 KW208         870 G Ti    0.00 0.15 
Praesepe 31 KW326         871 G Al   -0.03 0.11 
Praesepe 31 KW326         871 G Ca   -0.03 0.14 
Praesepe 31 KW326         871 G Cr   -0.01 0.17 
Praesepe 31 KW326         871 G Fe    0.28 0.10 
Praesepe 31 KW326         871 G Na   -0.06 0.12 
Praesepe 31 KW326         871 G Ni   -0.03 0.12 
Praesepe 31 KW326         871 G Si    0.00 0.10 
Praesepe 31 KW326         871 G Ti   -0.01 0.16 
Praesepe 31 KW368         872 G Al   -0.09 0.12 
Praesepe 31 KW368         872 G Ca    0.00 0.15 
Praesepe 31 KW368         872 G Cr    0.05 0.18 
Praesepe 31 KW368         872 G Fe    0.26 0.11 
Praesepe 31 KW368         872 G Na   -0.07 0.13 
Praesepe 31 KW368         872 G Ni   -0.01 0.13 
Praesepe 31 KW368         872 G Si   -0.03 0.11 
Praesepe 31 KW368         872 G Ti   -0.05 0.18 
Praesepe 31 KW392         873 G Al   -0.09 0.12 
Praesepe 31 KW392         873 G Ca    0.00 0.14 
Praesepe 31 KW392         873 G Cr    0.03 0.17 
Praesepe 31 KW392         873 G Fe    0.34 0.11 
Praesepe 31 KW392         873 G Na   -0.08 0.13 
Praesepe 31 KW392         873 G Ni   -0.02 0.14 
Praesepe 31 KW392         873 G Si   -0.06 0.12 
Praesepe 31 KW392         873 G Ti   -0.01 0.16 
Praesepe 31 KW418         874 G Al   -0.13 0.11 
Praesepe 31 KW418         874 G Ca    0.01 0.13 
Praesepe 31 KW418         874 G Cr    0.02 0.16 
Praesepe 31 KW418         874 G Fe    0.23 0.10 
Praesepe 31 KW418         874 G Na   -0.09 0.12 
Praesepe 31 KW418         874 G Ni   -0.04 0.13 
Praesepe 31 KW418         874 G Si   -0.04 0.11 
Praesepe 31 KW418         874 G Ti   -0.11 0.15 
M67      32 969           746 J Al   -0.01      
M67      32 969           746 J Ca    0.09      
M67      32 969           746 J Cr    0.00      
M67      32 969           746 J Fe    0.01      
M67      32 969           746 J Mg   -0.01      
M67      32 969           746 J Na    0.00      
M67      32 969           746 J Ni   -0.04      
M67      32 969           746 J Si   -0.01      
M67      32 969           746 J Ti    0.00      
M67      32 988           747 J Al   -0.04      
M67      32 988           747 J Ca    0.12      
M67      32 988           747 J Cr    0.09      
M67      32 988           747 J Fe    0.03      
M67      32 988           747 J Mg    0.03      
M67      32 988           747 J Na    0.12      
M67      32 988           747 J Ni    0.03      
M67      32 988           747 J Si    0.10      
M67      32 988           747 J Ti    0.00      
M67      32 994           748 J Al   -0.04      
M67      32 994           748 J Ca    0.07      
M67      32 994           748 J Cr    0.03      
M67      32 994           748 J Fe    0.00      
M67      32 994           748 J Mg    0.02      
M67      32 994           748 J Na    0.12      
M67      32 994           748 J Ni    0.04      
M67      32 994           748 J Si    0.02      
M67      32 994           748 J Ti    0.04      
M67      32 995           749 J Al   -0.06      
M67      32 995           749 J Ca    0.05      
M67      32 995           749 J Cr   -0.04      
M67      32 995           749 J Fe    0.05      
M67      32 995           749 J Mg    0.00      
M67      32 995           749 J Na    0.04      
M67      32 995           749 J Ni   -0.07      
M67      32 995           749 J Si    0.03      
M67      32 995           749 J Ti   -0.06      
M67      32 998           750 J Al   -0.08      
M67      32 998           750 J Ca    0.01      
M67      32 998           750 J Cr   -0.05      
M67      32 998           750 J Fe    0.07      
M67      32 998           750 J Mg    0.00      
M67      32 998           750 J Na    0.08      
M67      32 998           750 J Ni   -0.03      
M67      32 998           750 J Si   -0.02      
M67      32 998           750 J Ti    0.00      
M67      32 1034          751 J Al   -0.08      
M67      32 1034          751 J Ca    0.03      
M67      32 1034          751 J Cr    0.00      
M67      32 1034          751 J Fe    0.01      
M67      32 1034          751 J Mg   -0.02      
M67      32 1034          751 J Na    0.07      
M67      32 1034          751 J Ni   -0.03      
M67      32 1034          751 J Si    0.03      
M67      32 1034          751 J Ti    0.00      
M67      32 1239          752 J Al    0.02      
M67      32 1239          752 J Ca    0.00      
M67      32 1239          752 J Cr   -0.01      
M67      32 1239          752 J Fe    0.02      
M67      32 1239          752 J Mg   -0.01      
M67      32 1239          752 J Na    0.03      
M67      32 1239          752 J Ni   -0.03      
M67      32 1239          752 J Si    0.05      
M67      32 1239          752 J Ti   -0.05      
M67      32 1252          753 J Al   -0.09      
M67      32 1252          753 J Ca    0.02      
M67      32 1252          753 J Cr   -0.04      
M67      32 1252          753 J Fe    0.05      
M67      32 1252          753 J Mg   -0.04      
M67      32 1252          753 J Na   -0.04      
M67      32 1252          753 J Ni   -0.05      
M67      32 1252          753 J Si    0.00      
M67      32 1252          753 J Ti   -0.08      
M67      32 1256          754 J Al   -0.11      
M67      32 1256          754 J Ca    0.04      
M67      32 1256          754 J Cr   -0.02      
M67      32 1256          754 J Fe    0.06      
M67      32 1256          754 J Mg   -0.04      
M67      32 1256          754 J Na   -0.06      
M67      32 1256          754 J Ni   -0.04      
M67      32 1256          754 J Si   -0.03      
M67      32 1256          754 J Ti   -0.04      
M67      32 2205          755 J Al   -0.06      
M67      32 2205          755 J Ca    0.03      
M67      32 2205          755 J Cr   -0.01      
M67      32 2205          755 J Fe    0.00      
M67      32 2205          755 J Mg    0.03      
M67      32 2205          755 J Na    0.13      
M67      32 2205          755 J Ni    0.03      
M67      32 2205          755 J Si    0.04      
M67      32 2205          755 J Ti   -0.06      
Be29     33 159           930 D Ba    0.40 0.25 
Be29     33 159           930 D Ca    0.09 0.18 
Be29     33 159           930 D Cr   -0.10 0.18 
Be29     33 159           930 D Ni   -0.10 0.17 
Be29     33 159           930 D Si   -0.01 0.22 
Be29     33 159           930 D Ti   -0.01 0.20 
Be29     33 257           931 D Ba    0.46 0.37 
Be29     33 257           931 D Ca    0.12 0.20 
Be29     33 257           931 D Cr   -0.06 0.20 
Be29     33 257           931 D Ni    0.01 0.18 
Be29     33 257           931 D Si    0.13 0.28 
Be29     33 257           931 D Ti    0.02 0.20 
Be29     33 398           932 D Ba    0.46 0.40 
Be29     33 398           932 D Ca    0.14 0.18 
Be29     33 398           932 D Cr   -0.10 0.20 
Be29     33 398           932 D Ni   -0.03 0.20 
Be29     33 398           932 D Si   -0.01 0.16 
Be29     33 398           932 D Ti    0.07 0.19 
Be29     33 602           933 D Ba    0.37 0.17 
Be29     33 602           933 D Ca    0.04 0.16 
Be29     33 602           933 D Cr   -0.13 0.16 
Be29     33 602           933 D Ni   -0.08 0.13 
Be29     33 602           933 D Si    0.05 0.12 
Be29     33 602           933 D Ti    0.06 0.15 
Be29     33 933           934 D Ba    0.37 0.20 
Be29     33 933           934 D Ca    0.08 0.19 
Be29     33 933           934 D Cr   -0.11 0.18 
Be29     33 933           934 D Ni   -0.04 0.20 
Be29     33 933           934 D Si   -0.05 0.16 
Be29     33 933           934 D Ti   -0.03 0.19 
Be29     33 1024          935 D Ba    0.53 0.12 
Be29     33 1024          935 D Ca    0.12 0.15 
Be29     33 1024          935 D Cr    0.03 0.29 
Be29     33 1024          935 D Ni    0.08 0.21 
Be29     33 1024          935 D Si    0.05 0.14 
Be29     33 1024          935 D Ti    0.41 0.22 
Cr261    34 RGB02         942 D Ba    0.29 0.11 
Cr261    34 RGB02         942 D Ca    0.03 0.20 
Cr261    34 RGB02         942 D Cr    0.08 0.21 
Cr261    34 RGB02         942 D Ni    0.08 0.18 
Cr261    34 RGB02         942 D Si    0.17 0.22 
Cr261    34 RGB02         942 D Ti    0.23 0.20 
Cr261    34 RGB05         943 D Ba    0.26 0.13 
Cr261    34 RGB05         943 D Ca   -0.04 0.20 
Cr261    34 RGB05         943 D Cr   -0.05 0.18 
Cr261    34 RGB05         943 D Ni    0.00 0.16 
Cr261    34 RGB05         943 D Si    0.03 0.16 
Cr261    34 RGB05         943 D Ti   -0.03 0.17 
Cr261    34 RGB06         944 D Ba    0.28 0.12 
Cr261    34 RGB06         944 D Ca   -0.12 0.14 
Cr261    34 RGB06         944 D Cr   -0.04 0.17 
Cr261    34 RGB06         944 D Ni    0.11 0.16 
Cr261    34 RGB06         944 D Si    0.14 0.19 
Cr261    34 RGB06         944 D Ti    0.06 0.15 
Cr261    34 RGB07         945 D Ba    0.23 0.10 
Cr261    34 RGB07         945 D Ca   -0.03 0.15 
Cr261    34 RGB07         945 D Cr    0.04 0.19 
Cr261    34 RGB07         945 D Ni    0.10 0.17 
Cr261    34 RGB07         945 D Si    0.03 0.25 
Cr261    34 RGB07         945 D Ti    0.22 0.19 
Cr261    34 RGB09         946 D Ba    0.31 0.09 
Cr261    34 RGB09         946 D Ca   -0.03 0.16 
Cr261    34 RGB09         946 D Cr    0.10 0.18 
Cr261    34 RGB09         946 D Ni    0.06 0.14 
Cr261    34 RGB09         946 D Si    0.07 0.15 
Cr261    34 RGB09         946 D Ti    0.07 0.14 
Cr261    34 RGB10         947 D Ba    0.25 0.09 
Cr261    34 RGB10         947 D Ca   -0.03 0.15 
Cr261    34 RGB10         947 D Cr    0.07 0.18 
Cr261    34 RGB10         947 D Ni    0.04 0.17 
Cr261    34 RGB10         947 D Si    0.09 0.12 
Cr261    34 RGB10         947 D Ti    0.14 0.16 
Cr261    34 RGB11         948 D Ba    0.31 0.11 
Cr261    34 RGB11         948 D Ca   -0.07 0.16 
Cr261    34 RGB11         948 D Cr    0.00 0.19 
Cr261    34 RGB11         948 D Ni    0.11 0.17 
Cr261    34 RGB11         948 D Si    0.09 0.18 
Cr261    34 RGB11         948 D Ti   -0.01 0.15 
Mel66    35 1346          936 D Ba    0.32 0.13 
Mel66    35 1346          936 D Ca    0.14 0.18 
Mel66    35 1346          936 D Cr   -0.01 0.15 
Mel66    35 1346          936 D Ni   -0.02 0.11 
Mel66    35 1346          936 D Si    0.13 0.09 
Mel66    35 1346          936 D Ti   -0.02 0.14 
Mel66    35 1493          937 D Ba    0.29 0.10 
Mel66    35 1493          937 D Ca    0.09 0.15 
Mel66    35 1493          937 D Cr    0.02 0.15 
Mel66    35 1493          937 D Ni   -0.01 0.14 
Mel66    35 1493          937 D Si    0.14 0.10 
Mel66    35 1493          937 D Ti   -0.02 0.14 
Mel66    35 1785          938 D Ba    0.28 0.10 
Mel66    35 1785          938 D Ca    0.10 0.17 
Mel66    35 1785          938 D Cr   -0.06 0.11 
Mel66    35 1785          938 D Ni   -0.05 0.12 
Mel66    35 1785          938 D Si    0.10 0.10 
Mel66    35 1785          938 D Ti    0.01 0.13 
Mel66    35 1865          939 D Ba    0.46 0.09 
Mel66    35 1865          939 D Ca    0.07 0.14 
Mel66    35 1865          939 D Cr   -0.05 0.14 
Mel66    35 1865          939 D Ni   -0.02 0.11 
Mel66    35 1865          939 D Si    0.14 0.11 
Mel66    35 1865          939 D Ti   -0.05 0.12 
Mel66    35 1884          940 D Ba    0.26 0.10 
Mel66    35 1884          940 D Ca    0.06 0.13 
Mel66    35 1884          940 D Cr   -0.02 0.13 
Mel66    35 1884          940 D Ni    0.00 0.09 
Mel66    35 1884          940 D Si    0.10 0.10 
Mel66    35 1884          940 D Ti    0.08 0.11 
Mel66    35 2218          941 D Ba    0.35 0.10 
Mel66    35 2218          941 D Ca    0.08 0.14 
Mel66    35 2218          941 D Cr    0.03 0.15 
Mel66    35 2218          941 D Ni    0.03 0.11 
Mel66    35 2218          941 D Si    0.16 0.11 
Mel66    35 2218          941 D Ti    0.01 0.11 
IC4665   36 P19           893 E Ca   -0.13      
IC4665   36 P19           893 E Cr    0.14      
IC4665   36 P19           893 E Mg    0.00      
IC4665   36 P19           893 E Ni    0.04      
IC4665   36 P19           893 E Si   -0.01      
IC4665   36 P19           893 E Ti   -0.19      
IC4665   36 P147          894 E Ca   -0.02      
IC4665   36 P147          894 E Cr    0.00      
IC4665   36 P147          894 E Mg    0.00      
IC4665   36 P147          894 E Ni   -0.02      
IC4665   36 P147          894 E Si    0.00      
IC4665   36 P147          894 E Ti   -0.02      
IC4665   36 P39           895 E Ca    0.04      
IC4665   36 P39           895 E Cr   -0.06      
IC4665   36 P39           895 E Mg   -0.04      
IC4665   36 P39           895 E Ni   -0.08      
IC4665   36 P39           895 E Si    0.00      
IC4665   36 P39           895 E Ti    0.09      
IC4665   36 P107          896 E Ca   -0.01      
IC4665   36 P107          896 E Cr   -0.09      
IC4665   36 P107          896 E Mg   -0.05      
IC4665   36 P107          896 E Ni   -0.10      
IC4665   36 P107          896 E Si   -0.14      
IC4665   36 P107          896 E Ti   -0.10      
IC4665   36 P150          897 E Ca    0.22      
IC4665   36 P150          897 E Cr    0.01      
IC4665   36 P150          897 E Mg    0.37      
IC4665   36 P150          897 E Ni   -0.08      
IC4665   36 P150          897 E Si   -0.19      
IC4665   36 P150          897 E Ti    0.25      
IC4665   36 P151          898 E Ca    0.13      
IC4665   36 P151          898 E Cr   -0.09      
IC4665   36 P151          898 E Mg    0.23      
IC4665   36 P151          898 E Ni   -0.09      
IC4665   36 P151          898 E Si    0.02      
IC4665   36 P151          898 E Ti    0.09      
IC4665   36 P60           899 E Ca    0.06      
IC4665   36 P60           899 E Cr    0.02      
IC4665   36 P60           899 E Mg   -0.03      
IC4665   36 P60           899 E Ni   -0.06      
IC4665   36 P60           899 E Si    0.08      
IC4665   36 P60           899 E Ti    0.11      
IC4665   36 P199          900 E Ca   -0.11      
IC4665   36 P199          900 E Cr   -0.01      
IC4665   36 P199          900 E Mg    0.06      
IC4665   36 P199          900 E Ni    0.20      
IC4665   36 P199          900 E Si    0.01      
IC4665   36 P199          900 E Ti    0.60      
IC4665   36 P75           901 E Ca    0.14      
IC4665   36 P75           901 E Cr   -0.17      
IC4665   36 P75           901 E Mg   -0.05      
IC4665   36 P75           901 E Ni   -0.13      
IC4665   36 P75           901 E Si    0.28      
IC4665   36 P75           901 E Ti    0.07      
IC4665   36 P165          902 E Ca    0.19      
IC4665   36 P165          902 E Cr    0.08      
IC4665   36 P165          902 E Mg   -0.13      
IC4665   36 P165          902 E Ni   -0.03      
IC4665   36 P165          902 E Si   -0.13      
IC4665   36 P165          902 E Ti    0.28      
IC4665   36 P267          903 E Ca    0.04      
IC4665   36 P267          903 E Cr    0.17      
IC4665   36 P267          903 E Mg    0.07      
